P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,Clase
0.6334378265412748,0.632183908045977,0.002716823406478579,0.005433646812957158,0.004597701149425287,0.003761755485893417,0.003970741901776384,0.003761755485893417,0.002716823406478579,0.005433646812957158,0.004597701149425287,0.003761755485893417,0.003970741901776384,0.003761755485893417,0
0.6341164453524004,0.6179775280898876,0.0028600612870275793,0.005311542390194076,0.004698672114402451,0.0036772216547497445,0.0034729315628192034,0.0036772216547497445,0.0028600612870275793,0.005311542390194076,0.004698672114402451,0.0036772216547497445,0.0034729315628192034,0.0036772216547497445,0
0.6409613375130616,0.632183908045977,0.002716823406478579,0.005642633228840125,0.004597701149425287,0.003761755485893417,0.003552769070010449,0.003552769070010449,0.002716823406478579,0.005642633228840125,0.004597701149425287,0.003761755485893417,0.003552769070010449,0.003552769070010449,0
0.6429752066115703,0.625,0.002892561983471074,0.005371900826446281,0.004545454545454545,0.0035123966942148762,0.0035123966942148762,0.003305785123966942,0.002892561983471074,0.005371900826446281,0.004545454545454545,0.0035123966942148762,0.0035123966942148762,0.003305785123966942,0
0.6470219435736677,0.632183908045977,0.0025078369905956114,0.00522466039707419,0.004597701149425287,0.003552769070010449,0.003552769070010449,0.003552769070010449,0.0025078369905956114,0.00522466039707419,0.004597701149425287,0.003552769070010449,0.003552769070010449,0.003552769070010449,0
0.6330353341847594,0.6206896551724138,0.002767134951042997,0.005108556832694764,0.004895700297999148,0.0036185610898254576,0.0036185610898254576,0.0038314176245210726,0.002767134951042997,0.005108556832694764,0.004895700297999148,0.0036185610898254576,0.0036185610898254576,0.0038314176245210726,0
0.6389006342494714,0.6395348837209303,0.002536997885835095,0.005285412262156448,0.004862579281183933,0.0038054968287526427,0.0038054968287526427,0.0038054968287526427,0.002536997885835095,0.005285412262156448,0.004862579281183933,0.0038054968287526427,0.0038054968287526427,0.0038054968287526427,0
0.6328512396694215,0.625,0.0026859504132231405,0.005371900826446281,0.004545454545454545,0.00371900826446281,0.00371900826446281,0.0035123966942148762,0.0026859504132231405,0.005371900826446281,0.004545454545454545,0.00371900826446281,0.00371900826446281,0.0035123966942148762,0
0.6332288401253918,0.632183908045977,0.0029258098223615466,0.005433646812957158,0.004806687565308255,0.003761755485893417,0.003761755485893417,0.003552769070010449,0.0029258098223615466,0.005433646812957158,0.004806687565308255,0.003761755485893417,0.003761755485893417,0.003552769070010449,0
0.6285123966942149,0.625,0.002892561983471074,0.005578512396694215,0.004545454545454545,0.003925619834710744,0.0035123966942148762,0.00371900826446281,0.002892561983471074,0.005578512396694215,0.004545454545454545,0.003925619834710744,0.0035123966942148762,0.00371900826446281,0
0.6299586776859504,0.625,0.0026859504132231405,0.005371900826446281,0.004752066115702479,0.00371900826446281,0.0035123966942148762,0.00371900826446281,0.0026859504132231405,0.005371900826446281,0.004752066115702479,0.00371900826446281,0.0035123966942148762,0.00371900826446281,0
0.6330198537095089,0.632183908045977,0.0025078369905956114,0.005433646812957158,0.004597701149425287,0.003761755485893417,0.003761755485893417,0.003552769070010449,0.0025078369905956114,0.005433646812957158,0.004597701149425287,0.003761755485893417,0.003761755485893417,0.003552769070010449,0
0.6327272727272727,0.6111111111111112,0.0028282828282828283,0.0052525252525252525,0.0048484848484848485,0.0034343434343434343,0.0036363636363636364,0.0036363636363636364,0.0028282828282828283,0.0052525252525252525,0.0048484848484848485,0.0034343434343434343,0.0036363636363636364,0.0036363636363636364,0
0.6223140495867768,0.625,0.002892561983471074,0.005371900826446281,0.004752066115702479,0.00371900826446281,0.003925619834710744,0.00371900826446281,0.002892561983471074,0.005371900826446281,0.004752066115702479,0.00371900826446281,0.003925619834710744,0.00371900826446281,0
0.6294670846394984,0.632183908045977,0.0029258098223615466,0.005433646812957158,0.004597701149425287,0.003761755485893417,0.003761755485893417,0.003343782654127482,0.0029258098223615466,0.005433646812957158,0.004597701149425287,0.003761755485893417,0.003761755485893417,0.003343782654127482,0
